City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,77.484,-69.3632,19.26,59,44,9.95
1,Surt,LY,31.2089,16.5887,81.23,59,0,11.7
2,Vaini,TO,-21.2,-175.2,73.72,78,77,21.99
3,Hithadhoo,MV,-0.6,73.0833,81.73,74,91,7.9
4,Touros,BR,-5.1989,-35.4608,76.62,78,41,17.31
5,Punta Arenas,CL,-53.15,-70.9167,41.11,80,54,4.88
6,Ghanzi,BW,-21.5667,21.7833,53.37,24,0,16.98
7,Nikolskoye,RU,59.7035,30.7861,49.91,91,100,12.12
8,Ushuaia,AR,-54.8,-68.3,34.9,82,2,5.03
9,Castro,BR,-24.7911,-50.0119,56.57,93,99,1.36
10,Skibbereen,IE,51.55,-9.2667,57.11,83,100,2.35
11,Twentynine Palms,US,34.1356,-116.0542,89.98,11,0,9.95
12,Plavsk,RU,53.7094,37.2919,50.95,76,95,17.18
13,Dom Pedrito,BR,-30.9828,-54.6731,58.86,98,84,3.91
14,Jacareacanga,BR,-6.2222,-57.7528,80.04,66,92,1.99
15,Alta Floresta,BR,-9.8756,-56.0861,73.35,88,84,2.89
16,Albany,US,42.6001,-73.9662,64.63,94,99,3.22
17,Le Robert,MQ,14.6775,-60.9392,80.65,83,20,3.44
18,Atuona,PF,-9.8,-139.0333,77.32,74,15,19.71
19,Road Town,VG,18.4167,-64.6167,81.59,82,100,10.87
20,Floro,NO,61.5996,5.0328,46.36,71,9,8.05
21,Salisbury,GB,51.0693,-1.7957,56.8,83,40,4.61
22,Longyearbyen,SJ,78.2186,15.6401,31.84,69,40,17.27
23,Avarua,CK,-21.2078,-159.775,73.45,88,75,5.75
24,Troy,US,42.6056,-83.1499,77.58,59,0,6.91
25,Upernavik,GL,72.7868,-56.1549,32.81,96,100,3.42
26,Fortuna,US,40.5982,-124.1573,68.09,76,22,4.0
27,Chuy,UY,-33.6971,-53.4616,57.11,92,100,1.32
28,Chengde,CN,40.9725,117.9361,54.91,28,0,2.75
29,Eufaula,US,31.8913,-85.1455,78.33,72,1,5.53
30,Cidreira,BR,-30.1811,-50.2056,59.79,94,100,8.05
31,Rio Gallegos,AR,-51.6226,-69.2181,40.41,79,100,16.98
32,Cape Town,ZA,-33.9258,18.4232,58.1,78,12,1.01
33,Naro,IT,37.2935,13.7936,70.25,55,4,2.53
34,Iqaluit,CA,63.7506,-68.5145,43.7,75,82,12.88
35,Grindavik,IS,63.8424,-22.4338,50.47,100,100,12.66
36,Kapaa,US,22.0752,-159.319,87.78,69,70,8.01
37,Port Alfred,ZA,-33.5906,26.891,55.18,96,94,16.78
38,Hasaki,JP,35.7333,140.8333,84.29,80,49,29.57
39,Khatanga,RU,71.9667,102.5,25.12,91,100,10.25
40,Clyde River,CA,70.4692,-68.5914,32.23,100,100,13.8
41,Butaritari,KI,3.0707,172.7902,82.67,68,76,15.46
42,Mancio Lima,BR,-7.6142,-72.8958,83.16,50,67,2.82
